,common_pathways,common_phenotypes,Co-expression_coefficient,PPI_network_dist,PWY_network_dist,Txt_network_dist,LoFintolerance_combined,Haploinsufficiency_combined,Age_combined,dN/dS_combined,Essentiality_combined,#ofpathways_combined,#ofPhenotypeCodes_combined,#ofNeighborsPPI_combined,#ofNeighborsPWY_combined,#ofNeighborsTxt_combined,#ofHighlyCoexpressed_combined,#Common_PPI_Neighbors,#common_PWY_neighbors,#Common_Txt_Neighbors,#Common_coexpressed
"('CGB3', 'TRIM62')",0.0,0.0,0.0,0.0,0.0,0.0,0.001139444821116868,0.13759878223304903,321.45074272740453,0.07060966286419952,0.5,1.5811388300841898,0.0,2.1213203435596424,1.4142135623730951,0.0,11.313708498984761,0.0,0.0,0.0,0.0
"('COLEC11', 'ST8SIA4')",0.0,0.0,5.596340441058783e-05,0.0,0.0,0.0,0.48066068033282205,0.3652814311978062,647.8539341549142,0.23246935316174208,0.5,132.2365305050008,33.23401871576773,0.7071067811865476,1.0,1.4142135623730951,8.246211251235321,0.0,0.0,0.0,0.0
"('KIAA0776', 'TCF3')",0.0,0.0,0.00041857116546955317,0.3333333333333333,0.0,0.0,0.13127235407758517,0.17370487282541813,229.45615049503468,0.1938213998457991,0.5303300858899106,228.39549032325485,21.920310216782973,142.1442928857856,22.627416997969522,1041.5682886877846,101.11874208078342,0.0,0.0,0.0,0.0
"('CDK15', 'EIF2C3')",0.0,0.0,5.264956292965334e-05,0.3333333333333333,0.0,0.0,3.5752935721394645e-13,0.2455510138209141,1000.4722484906815,0.16146972185019753,0.5303300858899106,0.0,0.0,17.10263137648707,0.0,191.6259377015544,41.743262929483606,0.0,0.0,0.0,0.0
"('ATL2', 'EIF1AX')",0.0,0.0,0.0005892925542885766,0.5,0.0,0.3333333333333333,0.9321899960190954,0.49054455828075716,3038.7579699607536,0.13176000100000154,0.75,408.0006127446379,0.0,52.69724850502159,74.95331880577403,388.20741878537046,46.502688094345686,0.011494252873563218,0.0,0.0018148820326678765,0.013513513513513514
"('RASGEF1A', 'RFC2')",0.0,0.0,9.362813712776965e-05,0.3333333333333333,0.0,0.0,0.643535267484374,0.3917863930158554,2973.927373020397,0.14007841306052674,0.6373774391990981,497.09657009478553,121.62236636408618,301.93542355940946,39.59797974644666,11.313708498984761,20.615528128088304,0.0,0.0,0.0,0.0
"('GLCCI1', 'RAE1')",0.0,0.0,6.268071634029862e-05,0.5,0.0,0.0,0.7220041135330225,0.3138080147048962,1151.1779206534497,0.18436690860793045,0.6373774391990981,2863.7824638055176,0.0,423.56227405188014,33.94112549695428,7.7781745930520225,14.422205101855956,0.006230529595015576,0.0,0.0,0.0
"('DHRS7B', 'PBK')",0.0,0.0,0.00019714222628773305,0.5,0.0,0.0,2.8935975712557665e-05,0.4813782547186785,876.6595690460465,0.2770541360896043,0.5,0.0,0.0,242.9176815301842,0.7071067811865476,41.012193308819754,49.01530373260988,0.04265402843601896,0.0,0.0,0.0
"('GALNT6', 'TXNDC17')",0.0,0.0,0.00039789117676315526,0.3333333333333333,0.0,0.3333333333333333,0.025113530560163588,0.10221172187826898,855.368049438369,0.2082134405017014,0.6373774391990981,29.698484809834994,0.0,20.940391591371924,13.435028842544403,8.0,21.27204738618265,0.0,0.0,0.0,0.0
"('KIAA0564', 'TTF1')",0.0,0.0,0.0003174774511640311,0.3333333333333333,0.0,0.0,1.0417455722621616e-06,0.0021839261637523373,683.1545396175012,0.3462060892734269,0.5303300858899106,980.7571055057414,0.0,12.165525060596439,37.476659402887016,59.39696961966999,21.783020910791965,0.0,0.0,0.0,0.0
